Number 1 - 
Number 2 - 1
Number 3 - 105168421
Number 4 - 21
Number 5 - 168421
Number 6 - 3105168421
Number 7 - 221134175226134020105168421
Number 8 - 421
Number 9 - 28147221134175226134020105168421
Number 10 - 5168421
Number 11 - 34175226134020105168421
Number 12 - 63105168421
Number 13 - 4020105168421
Number 14 - 7221134175226134020105168421
Number 15 - 4623703510653160804020105168421
Number 16 - 8421
Number 17 - 5226134020105168421
Number 18 - 928147221134175226134020105168421
Number 19 - 58298844221134175226134020105168421
Number 20 - 105168421
Number 21 - 6432168421
Number 22 - 1134175226134020105168421
Number 23 - 703510653160804020105168421
Number 24 - 1263105168421
Number 25 - 76381958298844221134175226134020105168421
Number 26 - 134020105168421
Number 27 - 824112462319447142712141073221614842421213641829127413741220610331015546623370035017552626379039511865931780890445133666833416750225175437711325662838504251276638319958479143871921581079323816194858242972883644182291127341367410220516154307792324616230811545771732866433130065032597648824412261184924623703510653160804020105168421
Number 28 - 147221134175226134020105168421
Number 29 - 8844221134175226134020105168421
Number 30 - 154623703510653160804020105168421
Number 31 - 9447142712141073221614842421213641829127413741220610331015546623370035017552626379039511865931780890445133666833416750225175437711325662838504251276638319958479143871921581079323816194858242972883644182291127341367410220516154307792324616230811545771732866433130065032597648824412261184924623703510653160804020105168421
Number 32 - 168421
Number 33 - 100502576381958298844221134175226134020105168421
Number 34 - 175226134020105168421
Number 35 - 10653160804020105168421
Number 36 - 18928147221134175226134020105168421
Number 37 - 1125628147221134175226134020105168421
Number 38 - 1958298844221134175226134020105168421
Number 39 - 11859178892681346720210130415276381958298844221134175226134020105168421
Number 40 - 20105168421
Number 41 - 12462319447142712141073221614842421213641829127413741220610331015546623370035017552626379039511865931780890445133666833416750225175437711325662838504251276638319958479143871921581079323816194858242972883644182291127341367410220516154307792324616230811545771732866433130065032597648824412261184924623703510653160804020105168421
Number 42 - 216432168421
Number 43 - 13065196984914874371125628147221134175226134020105168421
Number 44 - 221134175226134020105168421
Number 45 - 1366834175226134020105168421
Number 46 - 23703510653160804020105168421
Number 47 - 142712141073221614842421213641829127413741220610331015546623370035017552626379039511865931780890445133666833416750225175437711325662838504251276638319958479143871921581079323816194858242972883644182291127341367410220516154307792324616230811545771732866433130065032597648824412261184924623703510653160804020105168421
Number 48 - 241263105168421
Number 49 - 14874371125628147221134175226134020105168421
Number 50 - 2576381958298844221134175226134020105168421
Number 51 - 1547723211658298844221134175226134020105168421
Number 52 - 26134020105168421
Number 53 - 160804020105168421
Number 54 - 27824112462319447142712141073221614842421213641829127413741220610331015546623370035017552626379039511865931780890445133666833416750225175437711325662838504251276638319958479143871921581079323816194858242972883644182291127341367410220516154307792324616230811545771732866433130065032597648824412261184924623703510653160804020105168421
Number 55 - 166832501253761889447142712141073221614842421213641829127413741220610331015546623370035017552626379039511865931780890445133666833416750225175437711325662838504251276638319958479143871921581079323816194858242972883644182291127341367410220516154307792324616230811545771732866433130065032597648824412261184924623703510653160804020105168421
Number 56 - 28147221134175226134020105168421
Number 57 - 172864313065196984914874371125628147221134175226134020105168421
Number 58 - 298844221134175226134020105168421
Number 59 - 178892681346720210130415276381958298844221134175226134020105168421
Number 60 - 30154623703510653160804020105168421
Number 61 - 184924623703510653160804020105168421
Number 62 - 319447142712141073221614842421213641829127413741220610331015546623370035017552626379039511865931780890445133666833416750225175437711325662838504251276638319958479143871921581079323816194858242972883644182291127341367410220516154307792324616230811545771732866433130065032597648824412261184924623703510653160804020105168421
Number 63 - 1909528614343021564632397048514567283641829127413741220610331015546623370035017552626379039511865931780890445133666833416750225175437711325662838504251276638319958479143871921581079323816194858242972883644182291127341367410220516154307792324616230811545771732866433130065032597648824412261184924623703510653160804020105168421
Number 64 - 32168421
Number 65 - 196984914874371125628147221134175226134020105168421
Number 66 - 33100502576381958298844221134175226134020105168421
Number 67 - 20210130415276381958298844221134175226134020105168421
Number 68 - 34175226134020105168421
Number 69 - 2081045226134020105168421
Number 70 - 3510653160804020105168421
Number 71 - 2141073221614842421213641829127413741220610331015546623370035017552626379039511865931780890445133666833416750225175437711325662838504251276638319958479143871921581079323816194858242972883644182291127341367410220516154307792324616230811545771732866433130065032597648824412261184924623703510653160804020105168421
Number 72 - 3618928147221134175226134020105168421
Number 73 - 22011055166832501253761889447142712141073221614842421213641829127413741220610331015546623370035017552626379039511865931780890445133666833416750225175437711325662838504251276638319958479143871921581079323816194858242972883644182291127341367410220516154307792324616230811545771732866433130065032597648824412261184924623703510653160804020105168421
Number 74 - 371125628147221134175226134020105168421
Number 75 - 226113340170852561286432168421
Number 76 - 381958298844221134175226134020105168421
Number 77 - 23211658298844221134175226134020105168421
Number 78 - 3911859178892681346720210130415276381958298844221134175226134020105168421
Number 79 - 23811935817953826980840420210130415276381958298844221134175226134020105168421
Number 80 - 4020105168421
Number 81 - 24412261184924623703510653160804020105168421
Number 82 - 4112462319447142712141073221614842421213641829127413741220610331015546623370035017552626379039511865931780890445133666833416750225175437711325662838504251276638319958479143871921581079323816194858242972883644182291127341367410220516154307792324616230811545771732866433130065032597648824412261184924623703510653160804020105168421
Number 83 - 2501253761889447142712141073221614842421213641829127413741220610331015546623370035017552626379039511865931780890445133666833416750225175437711325662838504251276638319958479143871921581079323816194858242972883644182291127341367410220516154307792324616230811545771732866433130065032597648824412261184924623703510653160804020105168421
Number 84 - 42216432168421
Number 85 - 2561286432168421
Number 86 - 4313065196984914874371125628147221134175226134020105168421
Number 87 - 26213139419759229614874371125628147221134175226134020105168421
Number 88 - 44221134175226134020105168421
Number 89 - 2681346720210130415276381958298844221134175226134020105168421
Number 90 - 451366834175226134020105168421
